"no_overall","no_inseason","title","directed_by","written_by","orig_release_date","prod_code","u_s_viewers_millions","season_category"
12,12,"""Life Choice""","Aaron Lipstadt","S : Dick Wolf;T : David Black & Robert Stuart Nathan",1991-01-08,"66213",19.2,"season_1"
363,14,"""Magnet""","Adam Bernstein","David Black",2006-02-08,"16014",14.53,"season_16"
168,11,"""Under the Influence""","Adam Davidson","René Balcer",1998-01-07,"K2517",16.98,"season_8"
398,5,"""Driven""","Alan Taylor","Richard Sweren & Gina Gionfriddo",2008-01-23,"18009",10.35,"season_18"
380,9,"""Deadlock""","Alex Chapple","David Slack",2006-11-17,"17009",9.94,"season_17"
397,4,"""Bottomless""","Alex Chapple","Ed Zuckerman",2008-01-16,"18004",11.59,"season_18"
421,10,"""Pledge""","Alex Chapple","Richard Sweren & Gina Gionfriddo",2009-01-21,"19008",8.27,"season_19"
424,13,"""Crimebusters""","Alex Chapple","Richard Sweren & Gina Gionfriddo",2009-02-11,"19013",7.44,"season_19"
428,17,"""Anchors Away""","Alex Chapple","Ed Zuckerman & Matthew McGough",2009-03-25,"19017",7.33,"season_19"
444,11,"""Fed""","Alex Chapple","S : René Balcer;S/T : Keith Eisner",2009-12-11,"20011",8.81,"season_20"
448,15,"""Brilliant Disguise""","Alex Chapple","S : René Balcer;S/T : Keith Eisner",2010-03-08,"20015",5.21,"season_20"
461,5,"""Free Speech""","Alex Hall","Rick Eid",2022-04-07,"2105",3.91,"season_21"
462,6,"""Wicked Game""","Alex Hall","Teleplay by : Rick EidStory by : Pamela Wechsler & Art Alamo",2022-04-14,"2106",4.02,"season_21"
465,9,"""The Great Pretender""","Alex Hall","Rick Eid & Pamela Wechsler",2022-05-12,"2109",3.83,"season_21"
467,1,"""Gimme Shelter – Part Three""","Alex Hall","Rick Eid & Gwen Sigan",2022-09-22,"2201",4.69,"season_22"
475,9,"""The System""","Alex Hall","Rick Eid & Pamela Wechsler",2022-12-08,"2209",4.41,"season_22"
480,14,"""Heroes""","Alex Hall","Rick Eid",2023-02-16,"2214",4.75,"season_22"
483,17,"""Bias""","Alex Hall","Keith Eisner",2023-03-30,"2217",4.22,"season_22"
488,22,"""Open Wounds""","Alex Hall","Teleplay by : Rick Eid & Pamela WechslerStory by : Gia Gordon & Ajani Jackson",2023-05-18,"2222",3.96,"season_22"
489,1,"""Freedom of Expression""","Alex Hall","Teleplay by : Rick Eid & Pamela WechslerStory by : Dick Wolf & Rick Eid",2024-01-18,"2301",5.32,"season_23"
493,5,"""Last Dance""","Alex Hall","Rick Eid & Pamela Wechsler",2024-02-22,"2305",4.87,"season_23"
498,10,"""Inconvenient Truth""","Alex Hall","Teleplay by : Rick Eid & Pamela WechslerStory by : Gia Gordon & Rick Eid & Pamela Wechsler",2024-04-18,"2310",4.51,"season_23"
501,13,"""In Harm's Way""","Alex Hall","Pamela Wechsler & Jennifer Vanderbes",2024-05-16,"2313",3.68,"season_23"
504,3,"""Big Brother""","Alex Hall","Rick Eid",2024-10-17,"2403",3.09,"season_24"
510,9,"""Enemy of the State""","Alex Hall","Scott Gold & Ajani Jackson",2025-01-16,"2409",4.16,"season_24"
394,1,"""Called Home""","Allen Coulter","René Balcer",2008-01-02,"18001",13.46,"season_18"
61,17,"""Conduct Unbecoming""","Arthur W. Forney","S : Walon Green & Peter S. Greenberg;T : Michael S. Chernuchin & René Balcer",1993-03-10,"68023",13.5,"season_3"
71,5,"""Black Tie""","Arthur W. Forney","Walon Green & Michael S. Chernuchin",1993-10-20,"69004",16.3,"season_4"
79,13,"""Breeder""","Arthur W. Forney","Michael S. Chernuchin & René Balcer",1994-01-19,"69023",19.3,"season_4"
85,19,"""Sanctuary""","Arthur W. Forney","Michael S. Chernuchin & William N. Fordes",1994-04-13,"69030",17.1,"season_4"
101,13,"""Rage""","Arthur W. Forney","Michael S. Chernuchin",1995-02-01,"69414",17.1,"season_5"
109,21,"""Purple Heart""","Arthur W. Forney","Morgan Gendel & William N. Fordes",1995-05-03,"69421",14.1,"season_5"
119,8,"""Angel""","Arthur W. Forney","Michael S. Chernuchin & Janis Diamond",1995-11-29,"K0114",17,"season_6"
153,19,"""Double Down""","Arthur W. Forney","S : Richard Sweren;T : Ed Zuckerman;S/T : Shimon Wincelberg",1997-04-16,"K1122",14.62,"season_7"
190,9,"""True North""","Arthur W. Forney","Ed Zuckerman",1998-12-09,"E0207",13.49,"season_9"
377,6,"""Profiteer""","Arthur W. Forney","David Wilcox",2006-10-27,"17007",9.02,"season_17"
472,6,"""Vicious Cycle""","Bethany Rooney","Teleplay by : Pamela Wechsler & Rick EidStory by : Pamela Wechsler",2022-11-03,"2206",3.73,"season_22"
478,12,"""Almost Famous""","Bethany Rooney","Pamela Wechsler & Jennifer Vanderbes",2023-01-26,"2212",5.38,"season_22"
47,3,"""Forgiveness""","Bill D'Elia","S : Robert Nathan;S/T : Ed Zuckerman",1992-10-07,"68005",17.2,"season_3"
144,10,"""Legacy""","Brian Mertes","Ed Zuckerman & Jeremy R. Littman",1997-01-15,"K1113",15.06,"season_7"
167,10,"""Ritual""","Brian Mertes","Kathy McCormick & Richard Sweren",1997-12-17,"K2516",13.88,"season_8"
180,23,"""Tabloid""","Brian Mertes","S : Alec Baldwin;S/T : David Black",1998-05-13,"K2515",13.28,"season_8"
60,16,"""Jurisdiction""","Bruce Seth Green","Walon Green & René Balcer",1993-03-03,"68017",NA,"season_3"
470,4,"""Benefit of the Doubt""","Carl Weathers","Peter Blauner",2022-10-13,"2204",4.09,"season_22"
474,8,"""Chain of Command""","Carlos Bernard","Art Alamo & Gia Gordon",2022-11-17,"2208",4.56,"season_22"
495,7,"""Balance of Power""","Carlos Bernard","Art Alamo and Ted Malawer",2024-03-14,"2307",4.19,"season_23"
517,16,"""Folk Hero""","Carlos Bernard","Rick Eid & Scott Gold",2025-03-20,"2416",3.82,NA
4,4,"""Kiss the Girls and Make Them Die""","Charles Correll","S : Dick Wolf;T : Robert Stuart Nathan",1990-10-11,"66210",16.8,"season_1"
55,11,"""Extended Family""","Charles Correll","T : Robert Nathan;S/T : Wendell Rawls",1993-01-06,"68015",16.1,"season_3"
99,11,"""Guardian""","Christopher Misiano","S : Brad Markowitz;T : William N. Fordes;S/T : René Balcer",1995-01-11,"69404",16.6,"season_5"
110,22,"""Switch""","Christopher Misiano","Jeremy R. Littman & Sibyl Gardner",1995-05-17,"69425",14.1,"season_5"
115,4,"""Jeopardy""","Christopher Misiano","René Balcer & Jeremy R. Littman",1995-11-01,"K0107",15,"season_6"
122,11,"""Corpus Delicti""","Christopher Misiano","Ed Zuckerman & Barry M. Schkolnick",1996-01-17,"K0115",17.4,"season_6"
131,20,"""Girlfriends""","Christopher Misiano","S : Jeremy R. Littman;T : Suzanne O'Malley;S/T : Ed Zuckerman",1996-05-01,"K0124",13.6,"season_6"
140,6,"""Double Blind""","Christopher Misiano","Jeremy R. Littman & William N. Fordes",1996-11-06,"K1105",15.22,"season_7"
152,18,"""Mad Dog""","Christopher Misiano","René Balcer",1997-04-02,"K1116",14.88,"season_7"
156,22,"""Past Imperfect""","Christopher Misiano","Janis Diamond",1997-05-14,"K1112",13.42,"season_7"
159,2,"""Denial""","Christopher Misiano","S : René Balcer;S/T : David Shore",1997-10-08,"K2504",14.28,"season_8"
171,14,"""Grief""","Christopher Misiano","Suzanne Oshry",1998-02-04,"K2514",14.56,"season_8"
202,21,"""Ambitious""","Christopher Misiano","S : Richard Sweren;S/T : Barry M. Schkolnick",1999-05-12,"E0221",15.06,"season_9"
220,15,"""Fools for Love""","Christopher Misiano","Kathy McCormick & Lynne E. Litt",2000-02-23,"E1113",15.11,"season_10"
229,24,"""Vaya Con Dios""","Christopher Misiano","René Balcer & Richard Sweren",2000-05-24,"E1108",19.48,"season_10"
414,3,"""Lost Boys""","Christopher Zalla","Richard Sweren & Gina Gionfriddo",2008-11-19,"19004",7.62,"season_19"
74,8,"""American Dream""","Constantine Makris","Sibyl Gardner",1993-11-09,"69018",14.4,"season_4"
78,12,"""Snatched""","Constantine Makris","Walon Green & René Balcer",1994-01-12,"69024",15.3,"season_4"
92,4,"""Family Values""","Constantine Makris","René Balcer & William N. Fordes",1994-10-12,"69401",17.7,"season_5"
95,7,"""Precious""","Constantine Makris","René Balcer & I.C. Rapoport",1994-11-09,"69410",17.5,"season_5"
105,17,"""Act of God""","Constantine Makris","Ed Zuckerman & Walter Dallenbach",1995-03-22,"69422",16,"season_5"
112,1,"""Bitter Fruit""","Constantine Makris","René Balcer & Jeremy R. Littman",1995-09-20,"K0105",17.3,"season_6"
120,9,"""Blood Libel""","Constantine Makris","S : René Balcer;S/T : I.C. Rapoport",1996-01-03,"K0109",18.7,"season_6"
125,14,"""Custody""","Constantine Makris","S : René Balcer;S/T : Morgan Gendel",1996-02-21,"K0117",14.7,"season_6"
136,2,"""I.D.""","Constantine Makris","Ed Zuckerman",1996-09-25,"K1107",16.5,"season_7"
141,7,"""Deadbeat""","Constantine Makris","Ed Zuckerman & I.C. Rapoport",1996-11-13,"K1108",14.9,"season_7"
145,11,"""Menace""","Constantine Makris","S : Barry M. Schkolnick;S/T : I.C. Rapoport",1997-02-05,"K1114",14.97,"season_7"
155,21,"""Passion""","Constantine Makris","S : Richard Sweren;S/T : Barry M. Schkolnick",1997-05-07,"K1124",13.06,"season_7"
157,23,"""Terminal""","Constantine Makris","René Balcer & Ed Zuckerman",1997-05-21,"K1102",14.88,"season_7"
162,5,"""Nullification""","Constantine Makris","David Black",1997-11-05,"K2507",12.98,"season_8"
166,9,"""Burned""","Constantine Makris","Siobhan Byrne",1997-12-10,"K2501",14.24,"season_8"
173,16,"""Divorce""","Constantine Makris","Barry M. Schkolnick",1998-03-04,"K2520",14.71,"season_8"
177,20,"""Burden""","Constantine Makris","David Shore & I.C. Rapoport",1998-04-24,"K2526",11.34,"season_8"
179,22,"""Damaged""","Constantine Makris","Janis Diamond",1998-05-06,"K2522",14.27,"season_8"
183,2,"""DWB""","Constantine Makris","René Balcer",1998-10-07,"E0205",13.01,"season_9"
186,5,"""Agony""","Constantine Makris","Kathy McCormick",1998-11-04,"E0216",15.62,"season_9"
191,10,"""Hate""","Constantine Makris","René Balcer",1999-01-06,"E0214",16.38,"season_9"
204,23,"""Refuge (Part I)""","Constantine Makris","René Balcer",1999-05-26,"E0212",16.31,"season_9"
205,24,"""Refuge (Part II)""","Constantine Makris","René Balcer",1999-05-26,"E0225",19.29,"season_9"
207,2,"""Killerz""","Constantine Makris","Richard Sweren",1999-09-29,"E1103",18.66,"season_10"
215,10,"""Loco Parentis""","Constantine Makris","Richard Sweren & Matt Witten",2000-01-05,"E1115",18.28,"season_10"
218,13,"""Panic""","Constantine Makris","S : Kathy McCormick & Matt Witten;T : William N. Fordes & Lynn Mamet",2000-02-16,"E1117",17.92,"season_10"
222,17,"""Black, White and Blue""","Constantine Makris","S : Richard Sweren;T : Matt Witten;S/T : Lynne E. Litt",2000-03-22,"E1120",18.67,"season_10"
226,21,"""Narcosis""","Constantine Makris","Kathy McCormick & Lynne E. Litt",2000-05-10,"E1123",18.64,"season_10"
230,1,"""Endurance""","Constantine Makris","Matt Witten",2000-10-18,"E1304",17.77,"season_11"
238,9,"""Hubris""","Constantine Makris","Kathy McCormick & Wendy Battles",2001-01-10,"E1311",20.34,"season_11"
241,12,"""Teenage Wasteland""","Constantine Makris","Barry Schindel & Aaron Zelman",2001-02-07,"E1315",19.31,"season_11"
250,21,"""Brother's Keeper""","Constantine Makris","René Balcer & Joe Gannon",2001-05-09,"E1325",18.82,"season_11"
256,3,"""For Love or Money""","Constantine Makris","Wendy Battles & Sean Jablonski",2001-10-10,"E2207",22.07,"season_12"
268,15,"""Access Nation""","Constantine Makris","Sean Jablonski & Terri Kopp",2002-02-27,"E2215",17.9,"season_12"
272,19,"""Slaughter""","Constantine Makris","Rob Wright",2002-04-10,"E2218",19.54,"season_12"
276,23,"""Oxymoron""","Constantine Makris","Michael Harbert",2002-05-15,"E2217",18.3,"season_12"
278,1,"""American Jihad""","Constantine Makris","Aaron Zelman & Marc Guggenheim",2002-10-02,"E3304",19.13,"season_13"
279,2,"""Shangri-La""","Constantine Makris","Michael S. Chernuchin",2002-10-09,"E3301",20.25,"season_13"
292,15,"""Bitch""","Constantine Makris","Michael S. Chernuchin & Roz Weinman",2003-02-26,"E3320",15.63,"season_13"
301,24,"""Smoke""","Constantine Makris","S : Dick Wolf;T : Michael S. Chernuchin",2003-05-21,"E3322",19.02,"season_13"
302,1,"""Bodies""","Constantine Makris","S : Michael S. Chernuchin;S/T : William N. Fordes",2003-09-24,"E4302",20.86,"season_14"
310,9,"""Compassion""","Constantine Makris","Roz Weinman",2003-11-26,"E4308",14.74,"season_14"
313,12,"""Payback""","Constantine Makris","Lorenzo Carcaterra",2004-01-14,"E4310",17.23,"season_14"
319,18,"""Evil Breeds""","Constantine Makris","S : Barry Schindel;S/T : Noah Baylin",2004-03-24,"E4326",15.05,"season_14"
330,5,"""Gunplay""","Constantine Makris","William N. Fordes & Lois Johnson",2004-10-20,"15006",13.07,"season_15"
340,15,"""Obsession""","Constantine Makris","Wendy Battles & Alfredo Barrios, Jr.",2005-02-09,"15019",13.16,"season_15"
342,17,"""License to Kill""","Constantine Makris","Richard Sweren & Stuart Feldman",2005-02-23,"15022",14.54,"season_15"
346,21,"""Publish and Perish""","Constantine Makris","Tom Szentgyorgi",2005-04-20,"15028",14.33,"season_15"
352,3,"""Ghosts""","Constantine Makris","Rick Eid",2005-10-05,"16003",12.6,"season_16"
355,6,"""Birthright""","Constantine Makris","David Slack",2005-11-02,"16007",12.57,"season_16"
375,4,"""Fear America""","Constantine Makris","Sonny Postiglione & Robert Nathan",2006-10-13,"17004",9.43,"season_17"
376,5,"""Public Service Homicide""","Constantine Makris","Chris Levinson",2006-10-20,"17005",10.2,"season_17"
382,11,"""Remains of the Day""","Constantine Makris","S : Shiya Ribowsky;S/T : David Wilcox",2007-01-05,"17011",9.77,"season_17"
385,14,"""Church""","Constantine Makris","Rick Eid",2007-02-09,"17014",9.63,"season_17"
387,16,"""Murder Book""","Constantine Makris","David Wilcox",2007-02-23,"17016",8.67,"season_17"
390,19,"""Fallout""","Constantine Makris","Sonny Postiglione",2007-04-27,"17019",7.52,"season_17"
392,21,"""Over Here""","Constantine Makris","William N. Fordes",2007-05-11,"17021",8.3,"season_17"
401,8,"""Illegal""","Constantine Makris","William N. Fordes & David Slack",2008-02-13,"18003",10.23,"season_18"
402,9,"""Executioner""","Constantine Makris","Richard Sweren & Gina Gionfriddo",2008-02-20,"18012",10.86,"season_18"
405,12,"""Submission""","Constantine Makris","Ed Zuckerman",2008-03-12,"18007",11.85,"season_18"
412,1,"""Rumble""","Constantine Makris","Richard Sweren & Christopher Ambrose",2008-11-05,"19003",7.94,"season_19"
416,5,"""Knock Off""","Constantine Makris","S : Jonathan Rintels;T : William N. Fordes & Matthew McGough",2008-12-03,"19006",11.31,"season_19"
437,4,"""Reality Bites""","Constantine Makris","Ed Zuckerman & Luke Schelhaas",2009-10-16,"20004",7.73,"season_20"
146,12,"""Barter""","Dan Karlok","René Balcer & Eddie Feldmann",1997-02-12,"K1110",14.8,"season_7"
17,17,"""Mushrooms""","Daniel Sackheim","Robert Palm",1991-02-26,"66218",15.6,"season_1"
28,6,"""Misconception""","Daniel Sackheim","S : Michael Duggan;S/T : Michael S. Chernuchin",1991-10-29,"67410",18.5,"season_2"
37,15,"""Trust""","Daniel Sackheim","S : Michael Duggan;S/T : René Balcer",1992-02-11,"67417",17.6,"season_2"
38,16,"""Vengeance""","Daniel Sackheim","S : Peter S. Greenberg;T : René Balcer;S/T : Michael S. Chernuchin",1992-02-18,"67420",19.2,"season_2"
44,22,"""The Working Stiff""","Daniel Sackheim","S : William N. Fordes;S/T : Robert Palm",1992-05-12,"67428",12.1,"season_2"
45,1,"""Skin Deep""","Daniel Sackheim","Robert Nathan & Gordon Rayfield",1992-09-23,"68009",14.9,"season_3"
59,15,"""Mother Love""","Daniel Sackheim","S : Walon Green;S/T : Robert Nathan",1993-02-24,"68024",14.6,"season_3"
76,10,"""The Pursuit of Happiness""","Dann Florek","Morgan Gendel & Robert Nathan",1993-12-01,"69005",17,"season_4"
82,16,"""Big Bang""","Dann Florek","Ed Zuckerman",1994-03-02,"69027",15.7,"season_4"
108,20,"""Bad Faith""","Dann Florek","René Balcer",1995-04-26,"69426",13.4,"season_5"
406,13,"""Angelgrove""","Darnell Martin","David Wilcox & Stephanie Sengupta",2008-03-19,"18008",10.49,"season_18"
420,9,"""By Perjury""","Darnell Martin","Richard Sweren & Christopher Ambrose",2009-01-14,"19010",8.26,"season_19"
439,6,"""Human Flesh Search Engine""","Darnell Martin","Ed Zuckerman & Matthew McGough",2009-10-30,"20006",7.07,"season_20"
452,19,"""Crashers""","Darnell Martin","Richard Sweren & Christopher Ambrose & Julie Martin",2010-05-03,"20019",6.18,"season_20"
471,5,"""12 Seconds""","David Grossman","Jonathan Collier",2022-10-27,"2205",4.18,"season_22"
494,6,"""On the Ledge""","David Grossman","Pamela Wechsler and Jennifer Vanderbes",2024-02-29,"2306",4.7,"season_23"
503,2,"""The Perfect Man""","David Grossman","Scott Gold",2024-10-10,"2402",3.45,"season_24"
513,12,"""Duty to Protect""","David Grossman","Pamela Wechsler",2025-02-13,"2412",4.19,"season_24"
127,16,"""Savior""","David Platt","Michael S. Chernuchin & Barry M. Schkolnick",1996-03-13,"K0121",15.9,"season_6"
154,20,"""We Like Mike""","David Platt","Gardner Stern & I.C. Rapoport",1997-04-30,"K1125",13.37,"season_7"
176,19,"""Disappeared""","David Platt","Richard Sweren & William N. Fordes",1998-04-22,"K2528",14.2,"season_8"
185,4,"""Flight""","David Platt","Richard Sweren & William N. Fordes",1998-10-21,"E0209",12.22,"season_9"
193,12,"""Haven""","David Platt","David Shore & I.C. Rapoport",1999-02-10,"E0219",13.55,"season_9"
208,3,"""DNR""","David Platt","S : William N. Fordes;T : Kathy McCormick",1999-10-06,"E1109",17.9,"season_10"
212,7,"""Patsy""","David Platt","René Balcer & Lynne E. Litt",1999-11-24,"E1102",17.64,"season_10"
216,11,"""Collision""","David Platt","S : William N. Fordes;S/T : Gerry Conway",2000-01-26,"E1116",18.13,"season_10"
223,18,"""Mega""","David Platt","Lynn Mamet & William N. Fordes",2000-04-05,"E1121",17.99,"season_10"
235,6,"""Burn Baby Burn""","David Platt","Richard Sweren",2000-11-22,"E1306",18.29,"season_11"
242,13,"""Phobia""","David Platt","Kathy McCormick & Lynn Mamet & Wendy Battles",2001-02-14,"E1313",20.07,"season_11"
249,20,"""All My Children""","David Platt","Barry Schindel & Noah Baylin",2001-05-02,"E1326",19.67,"season_11"
252,23,"""Judge Dread""","David Platt","Richard Sweren & Aaron Zelman",2001-05-23,"E1327",16.96,"season_11"
260,7,"""Myth of Fingerprints""","David Platt","S : Eric Overmyer;T : Terri Kopp & Aaron Zelman",2001-11-14,"E2209",20.42,"season_12"
261,8,"""The Fire This Time""","David Platt","David Black",2001-11-21,"E2205",17.77,"season_12"
267,14,"""Missing""","David Platt","S : Barry Schindel;T : Eric Overmyer & Matt Witten",2002-02-06,"E2212",18.95,"season_12"
277,24,"""Patriot""","David Platt","William N. Fordes & Sean Jablonski",2002-05-22,"E2226",19.51,"season_12"
281,4,"""Tragedy on Rye""","David Platt","William N. Fordes",2002-10-30,"E3303",20.16,"season_13"
291,14,"""Star Crossed""","David Platt","Richard Sweren",2003-02-19,"E3315",19.81,"season_13"
297,20,"""Kid Pro Quo""","David Platt","Eric Overmyer & Roz Weinman",2003-04-30,"E3325",18.09,"season_13"
300,23,"""Couples""","David Platt","Lorenzo Carcaterra",2003-05-21,"E3317",16.01,"season_13"
304,3,"""Patient Zero""","David Platt","Wendy Battles",2003-10-08,"E4301",16.47,"season_14"
311,10,"""Ill-Conceived""","David Platt","Aaron Zelman & Noah Baylin & Michael S. Chernuchin",2003-12-03,"E4306",16.61,"season_14"
316,15,"""Veteran's Day""","David Platt","Noah Baylin",2004-02-18,"E4314",18.04,"season_14"
